multiplier,threshold,false_positives,false_negatives,precision,recall,f1_score,fp_cost,fn_cost,estimated_total_cost_thousands
3.0,13545,1229,0,0.1962,1.0,0.328,409666.6666666667,0.0,409.6666666666667
3.1,13829,1084,0,0.2168,1.0,0.3563,361333.3333333333,0.0,361.3333333333333
3.2,14113,954,0,0.2392,1.0,0.3861,318000.0,0.0,318.0
3.3,14398,845,0,0.262,1.0,0.4152,281666.6666666667,0.0,281.6666666666667
3.4,14682,748,0,0.2863,1.0,0.4451,249333.33333333334,0.0,249.33333333333334
3.5,14966,652,0,0.3151,1.0,0.4792,217333.33333333334,0.0,217.33333333333334
3.6,15251,597,0,0.3344,1.0,0.5013,199000.0,0.0,199.0
3.7,15535,540,0,0.3571,1.0,0.5263,180000.0,0.0,180.0
3.8,15819,479,0,0.3851,1.0,0.5561,159666.66666666666,0.0,159.66666666666666
3.9,16104,415,0,0.4196,1.0,0.5911,138333.33333333334,0.0,138.33333333333334
4.0,16388,373,0,0.4458,1.0,0.6166,124333.33333333333,0.0,124.33333333333333
4.1,16672,324,0,0.4808,1.0,0.6494,108000.0,0.0,108.0
4.2,16957,284,0,0.5137,1.0,0.6787,94666.66666666667,0.0,94.66666666666667
4.3,17241,253,0,0.5425,1.0,0.7034,84333.33333333333,0.0,84.33333333333333
4.4,17525,225,0,0.5714,1.0,0.7273,75000.0,0.0,75.0
4.5,17809,191,1,0.6102,0.9967,0.757,63666.666666666664,5000.0,68.66666666666666
4.6,18094,177,1,0.6282,0.9967,0.7706,59000.0,5000.0,64.0
4.7,18378,158,1,0.6543,0.9967,0.79,52666.666666666664,5000.0,57.666666666666664
4.8,18662,132,1,0.6937,0.9967,0.8181,44000.0,5000.0,49.0
4.9,18947,120,1,0.7136,0.9967,0.8317,40000.0,5000.0,45.0
5.0,19231,109,1,0.7328,0.9967,0.8446,36333.333333333336,5000.0,41.333333333333336
5.1,19515,94,1,0.7608,0.9967,0.8629,31333.333333333332,5000.0,36.33333333333333
5.2,19800,83,2,0.7822,0.9933,0.8752,27666.666666666668,10000.0,37.66666666666667
5.3,20084,73,3,0.8027,0.99,0.8866,24333.333333333332,15000.0,39.33333333333333
5.4,20368,60,3,0.8319,0.99,0.9041,20000.0,15000.0,35.0
5.5,20653,54,3,0.8462,0.99,0.9124,18000.0,15000.0,33.0
5.6,20937,51,6,0.8522,0.98,0.9116,17000.0,30000.0,47.0
5.7,21221,39,7,0.8825,0.9767,0.9272,13000.0,35000.0,48.0
5.8,21506,30,8,0.9068,0.9733,0.9389,10000.0,40000.0,50.0
5.9,21790,27,13,0.914,0.9567,0.9349,9000.0,65000.0,74.0
6.0,22074,24,17,0.9218,0.9433,0.9325,8000.0,85000.0,93.0
6.1,22359,18,24,0.9388,0.92,0.9293,6000.0,120000.0,126.0
6.2,22643,16,27,0.9446,0.91,0.927,5333.333333333333,135000.0,140.33333333333334
6.3,22927,14,32,0.9504,0.8933,0.921,4666.666666666667,160000.0,164.66666666666666
6.4,23212,13,47,0.9511,0.8433,0.894,4333.333333333333,235000.0,239.33333333333334
6.5,23496,11,58,0.9565,0.8067,0.8752,3666.6666666666665,290000.0,293.6666666666667
6.6,23780,8,66,0.9669,0.78,0.8635,2666.6666666666665,330000.0,332.6666666666667
6.7,24065,6,87,0.9726,0.71,0.8208,2000.0,435000.0,437.0
6.8,24349,6,105,0.9701,0.65,0.7784,2000.0,525000.0,527.0
6.9,24633,5,119,0.9731,0.6033,0.7449,1666.6666666666665,595000.0,596.6666666666666
7.0,24917,5,141,0.9695,0.53,0.6853,1666.6666666666665,705000.0,706.6666666666666
7.1,25202,4,155,0.9732,0.4833,0.6459,1333.3333333333333,775000.0,776.3333333333334
7.2,25486,4,174,0.9692,0.42,0.586,1333.3333333333333,870000.0,871.3333333333334
7.3,25770,4,190,0.9649,0.3667,0.5314,1333.3333333333333,950000.0,951.3333333333334
7.4,26055,4,206,0.9592,0.3133,0.4724,1333.3333333333333,1029999.9999999999,1031.3333333333333
7.5,26339,2,221,0.9753,0.2633,0.4147,666.6666666666666,1105000.0,1105.6666666666667
7.6,26623,2,236,0.9697,0.2133,0.3497,666.6666666666666,1180000.0,1180.6666666666667
7.7,26908,2,249,0.9623,0.17,0.289,666.6666666666666,1245000.0,1245.6666666666667
7.8,27192,2,258,0.9545,0.14,0.2442,666.6666666666666,1290000.0,1290.6666666666667
7.9,27476,2,268,0.9412,0.1067,0.1916,666.6666666666666,1340000.0,1340.6666666666667
