multiplier,TP,FP,TN,FN,precision,recall,f1_score,weighted_FN,total_weighted_errors
2.0,300,4035,82065,0,0.06920415224913495,1.0,0.12944983818770228,0.0,4035.0
2.1,300,3594,82506,0,0.07704160246533127,1.0,0.14306151645207438,0.0,3594.0
2.2,300,3200,82900,0,0.08571428571428572,1.0,0.15789473684210528,0.0,3200.0
2.3000000000000003,300,2854,83246,0,0.09511731135066583,1.0,0.17371163867979156,0.0,2854.0
2.4000000000000004,300,2523,83577,0,0.10626992561105207,1.0,0.19212295869356388,0.0,2523.0
2.5000000000000004,300,2252,83848,0,0.11755485893416928,1.0,0.21037868162692847,0.0,2252.0
2.6000000000000005,300,2022,84078,0,0.12919896640826872,1.0,0.22883295194508008,0.0,2022.0
2.7000000000000006,300,1796,84304,0,0.1431297709923664,1.0,0.2504173622704507,0.0,1796.0
2.8000000000000007,300,1576,84524,0,0.15991471215351813,1.0,0.2757352941176471,0.0,1576.0
2.900000000000001,300,1387,84713,0,0.17783046828689983,1.0,0.3019627579265224,0.0,1387.0
3.000000000000001,300,1229,84871,0,0.1962066710268149,1.0,0.3280481137233461,0.0,1229.0
3.100000000000001,300,1084,85016,0,0.21676300578034682,1.0,0.3562945368171021,0.0,1084.0
3.200000000000001,300,954,85146,0,0.23923444976076555,1.0,0.3861003861003861,0.0,954.0
3.300000000000001,300,845,85255,0,0.26200873362445415,1.0,0.4152249134948097,0.0,845.0
3.4000000000000012,300,748,85352,0,0.2862595419847328,1.0,0.4451038575667655,0.0,748.0
3.5000000000000013,300,652,85448,0,0.31512605042016806,1.0,0.4792332268370607,0.0,652.0
3.6000000000000014,300,597,85503,0,0.33444816053511706,1.0,0.5012531328320802,0.0,597.0
3.7000000000000015,300,540,85560,0,0.35714285714285715,1.0,0.5263157894736842,0.0,540.0
3.8000000000000016,300,479,85621,0,0.3851091142490372,1.0,0.5560704355885079,0.0,479.0
3.9000000000000017,300,415,85685,0,0.4195804195804196,1.0,0.5911330049261084,0.0,415.0
4.000000000000002,300,373,85727,0,0.4457652303120357,1.0,0.6166495375128469,0.0,373.0
4.100000000000001,300,324,85776,0,0.4807692307692308,1.0,0.6493506493506493,0.0,324.0
4.200000000000001,300,284,85816,0,0.5136986301369864,1.0,0.6787330316742082,0.0,284.0
4.300000000000001,300,253,85847,0,0.5424954792043399,1.0,0.7033997655334114,0.0,253.0
4.4,300,225,85875,0,0.5714285714285714,1.0,0.7272727272727273,0.0,225.0
4.5,299,191,85909,1,0.610204081632653,0.9966666666666667,0.7569620253164557,10.0,201.0
4.6,299,177,85923,1,0.6281512605042017,0.9966666666666667,0.770618556701031,10.0,187.0
4.699999999999999,299,158,85942,1,0.6542669584245077,0.9966666666666667,0.7899603698811097,10.0,168.0
4.799999999999999,299,132,85968,1,0.6937354988399071,0.9966666666666667,0.8180574555403556,10.0,142.0
4.899999999999999,299,120,85980,1,0.7136038186157518,0.9966666666666667,0.8317107093184979,10.0,130.0
4.999999999999998,299,109,85991,1,0.7328431372549019,0.9966666666666667,0.844632768361582,10.0,119.0
5.099999999999998,299,94,86006,1,0.7608142493638677,0.9966666666666667,0.862914862914863,10.0,104.0
5.1999999999999975,298,83,86017,2,0.7821522309711286,0.9933333333333333,0.8751835535976504,20.0,103.0
5.299999999999997,297,73,86027,3,0.8027027027027027,0.99,0.8865671641791044,30.0,103.0
5.399999999999997,297,60,86040,3,0.8319327731092437,0.99,0.904109589041096,30.0,90.0
5.4999999999999964,297,54,86046,3,0.8461538461538461,0.99,0.912442396313364,30.0,84.0
5.599999999999996,294,51,86049,6,0.8521739130434782,0.98,0.9116279069767441,60.0,111.0
5.699999999999996,293,39,86061,7,0.8825301204819277,0.9766666666666667,0.9272151898734177,70.0,109.0
5.799999999999995,292,30,86070,8,0.906832298136646,0.9733333333333334,0.9389067524115757,80.0,110.0
5.899999999999995,287,27,86073,13,0.9140127388535032,0.9566666666666667,0.9348534201954397,130.0,157.0
5.999999999999995,283,24,86076,17,0.9218241042345277,0.9433333333333334,0.9324546952224052,170.0,194.0
6.099999999999994,276,18,86082,24,0.9387755102040817,0.92,0.9292929292929293,240.0,258.0
6.199999999999994,273,16,86084,27,0.9446366782006921,0.91,0.9269949066213922,270.0,286.0
6.299999999999994,268,14,86086,32,0.950354609929078,0.8933333333333333,0.9209621993127147,320.0,334.0
6.399999999999993,253,13,86087,47,0.9511278195488722,0.8433333333333334,0.8939929328621907,470.0,483.0
6.499999999999993,242,11,86089,58,0.9565217391304348,0.8066666666666666,0.8752260397830018,580.0,591.0
6.5999999999999925,234,8,86092,66,0.9669421487603306,0.78,0.8634686346863469,660.0,668.0
6.699999999999992,213,6,86094,87,0.9726027397260274,0.71,0.8208092485549133,870.0,876.0
6.799999999999992,195,6,86094,105,0.9701492537313433,0.65,0.778443113772455,1050.0,1056.0
6.8999999999999915,181,5,86095,119,0.9731182795698925,0.6033333333333334,0.7448559670781894,1190.0,1195.0
6.999999999999991,159,5,86095,141,0.9695121951219512,0.53,0.6853448275862069,1410.0,1415.0
7.099999999999991,145,4,86096,155,0.9731543624161074,0.48333333333333334,0.6458797327394209,1550.0,1554.0
7.19999999999999,126,4,86096,174,0.9692307692307692,0.42,0.5860465116279069,1740.0,1744.0
7.29999999999999,110,4,86096,190,0.9649122807017544,0.36666666666666664,0.5314009661835748,1900.0,1904.0
7.39999999999999,94,4,86096,206,0.9591836734693877,0.31333333333333335,0.4723618090452261,2060.0,2064.0
7.499999999999989,79,2,86098,221,0.9753086419753086,0.2633333333333333,0.4146981627296587,2210.0,2212.0
7.599999999999989,64,2,86098,236,0.9696969696969697,0.21333333333333335,0.34972677595628415,2360.0,2362.0
7.699999999999989,51,2,86098,249,0.9622641509433962,0.17,0.2889518413597734,2490.0,2492.0
7.799999999999988,42,2,86098,258,0.9545454545454546,0.14,0.24418604651162792,2580.0,2582.0
7.899999999999988,32,2,86098,268,0.9411764705882353,0.10666666666666667,0.19161676646706588,2680.0,2682.0
7.999999999999988,26,2,86098,274,0.9285714285714286,0.08666666666666667,0.15853658536585366,2740.0,2742.0
8.099999999999987,21,2,86098,279,0.9130434782608695,0.07,0.130030959752322,2790.0,2792.0
8.199999999999987,15,2,86098,285,0.8823529411764706,0.05,0.09463722397476342,2850.0,2852.0
8.299999999999986,9,1,86099,291,0.9,0.03,0.058064516129032254,2910.0,2911.0
8.399999999999986,5,0,86100,295,1.0,0.016666666666666666,0.03278688524590164,2950.0,2950.0
8.499999999999986,4,0,86100,296,1.0,0.013333333333333334,0.02631578947368421,2960.0,2960.0
8.599999999999985,4,0,86100,296,1.0,0.013333333333333334,0.02631578947368421,2960.0,2960.0
8.699999999999985,2,0,86100,298,1.0,0.006666666666666667,0.013245033112582783,2980.0,2980.0
8.799999999999985,2,0,86100,298,1.0,0.006666666666666667,0.013245033112582783,2980.0,2980.0
8.899999999999984,1,0,86100,299,1.0,0.0033333333333333335,0.006644518272425249,2990.0,2990.0
